Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA
SP1,28/01/2007,Gimnastic,Espanol,4,0,H,4,0,H,15,9,6,4,28,26,6,13,2,3,0,0,3.1,3.2,2.25,3.25,3.15,2.1,3.1,3.2,2.25,3,3.1,2.2,3,3.2,2.1,2.9,3.1,2.3,2.87,3.1,2.2,2.88,3.2,2.25,3,3.2,2.1,44,3.3,3.03,3.25,3.15,2.3,2.22
SP1,28/01/2007,Levante,Sevilla,2,4,A,0,1,A,12,9,4,3,23,15,7,6,2,3,0,0,4,3.25,1.9,4.65,3.35,1.7,4.25,3.3,1.85,3.8,3.2,1.85,4,3.2,1.8,4.2,3.25,1.8,3.75,3.2,1.83,4,3.25,1.83,3.5,3.2,1.9,44,4.65,4.02,3.35,3.24,2,1.85
SP1,28/01/2007,Mallorca,Recreativo,2,1,H,2,0,H,15,5,7,2,17,17,18,3,2,3,1,0,2.3,3.25,3,2.35,3.15,2.8,2.35,3.2,2.9,2.3,3.1,2.8,2.5,3,2.6,2.3,3.1,2.9,2.4,3.1,2.6,2.5,3.2,2.6,2.3,3.1,2.75,43,2.5,2.34,3.25,3.14,3.1,2.84
SP1,28/01/2007,Sociedad,Ath Bilbao,0,2,A,0,1,A,9,15,5,4,22,29,5,5,2,2,0,0,2.3,3.1,3.1,2.3,3.1,2.9,2.35,3.1,3,2.3,2.9,3,2.25,3,2.87,2.3,3.2,2.8,2.37,3,2.7,2.38,3.2,2.75,2.25,3.1,2.8,43,2.45,2.32,3.2,3.11,3.2,2.9
SP1,28/01/2007,Zaragoza,La Coruna,1,1,D,0,1,A,24,5,11,2,10,16,11,2,0,3,0,1,1.9,3.25,4,1.7,3.35,4.65,1.85,3.3,4.25,1.85,3.1,4,1.72,3.2,4.33,1.8,3.25,4.2,1.8,3.1,4,1.83,3.25,4,1.65,3.25,4.5,43,2,1.83,3.3,3.22,4.85,4.14
SP1,03/02/2007,Espanol,Zaragoza,1,2,A,0,0,D,11,15,2,6,22,25,9,4,2,2,0,0,2.5,3.2,2.75,2.4,3.2,2.7,2.4,3.25,2.8,2.3,3,2.9,2.25,3.2,2.75,2.4,3.1,2.75,2.3,3.1,2.75,2.5,3.2,2.6,2.3,3.2,2.65,42,2.58,2.4,3.25,3.15,2.9,2.75
SP1,03/02/2007,La Coruna,Mallorca,1,0,H,1,0,H,12,15,3,2,19,16,4,3,4,4,0,0,2,3.2,3.75,1.9,3.3,3.65,1.95,3.2,3.8,1.9,3.1,3.8,1.8,3.2,4,1.91,3.2,3.75,1.9,3.1,3.6,1.83,3.2,4,1.9,3.25,3.4,44,2.05,1.93,3.3,3.2,4.2,3.74
SP1,03/02/2007,Valencia,Ath Madrid,3,1,H,1,0,H,12,17,3,4,16,16,4,6,1,5,0,0,1.83,3.25,4.5,1.8,3.35,4,1.88,3.2,4.25,1.85,3.1,4,1.8,3.2,4,1.83,3.25,4,1.83,3,4,1.8,3.2,4.33,1.8,3.25,3.75,43,1.91,1.85,3.3,3.21,4.6,4.06
SP1,04/02/2007,Ath Bilbao,Betis,1,2,A,0,1,A,11,5,3,2,18,18,7,3,4,4,0,0,2.15,3.2,3.4,2.2,3.15,3.05,2.2,3.2,3.2,2.1,3,3.3,2,3,3.5,2.1,3.2,3.2,2.05,3.1,3.2,2.2,3.2,3,2.1,3.2,3,42,2.25,2.15,3.2,3.14,3.5,3.2
SP1,04/02/2007,Celta,Gimnastic,1,1,D,0,0,D,9,8,5,3,13,14,4,6,2,1,0,0,1.66,3.6,5,1.62,3.4,5.25,1.65,3.4,5.5,1.65,3.4,4.7,1.66,3.3,4.5,1.62,3.5,5,1.61,3.3,5,1.57,3.4,6,1.6,3.25,5,43,1.7,1.63,3.6,3.42,6,5.18
