Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,PSCH,PSCD,PSCA
SP1,24/09/2013,Levante,Valladolid,1,1,D,1,1,D,24,4,4,2,13,13,7,0,2,4,0,1,2.1,3.3,3.5,2.05,3.2,3.7,2,3.4,3.5,2.15,3.25,3.4,2.21,3.35,3.71,2.15,3.2,3.5,2.2,3.25,3.5,2.25,3.3,3.6,34,2.25,2.16,3.4,3.26,3.7,3.48,2.24,3.3,3.7
SP1,24/09/2013,Malaga,Almeria,2,0,H,0,0,D,16,7,7,2,12,13,9,5,2,1,0,0,1.67,3.75,5,1.67,3.8,4.75,1.7,3.7,4.5,1.7,3.75,5,1.68,4.05,5.61,1.7,3.8,4.8,1.67,3.8,5.5,1.7,4,5.25,34,1.73,1.67,4.25,3.79,6.2,5.2,1.82,3.8,4.83
SP1,25/09/2013,Elche,Real Madrid,1,2,A,0,0,D,11,12,3,5,23,9,4,5,8,2,1,0,10,5.5,1.29,9.25,5.5,1.28,10.5,6,1.22,10,5.5,1.29,11.8,6.15,1.29,11,5,1.3,11,6,1.27,10.5,6,1.3,34,13,9.96,6.5,5.65,1.3,1.28,11.11,6.1,1.31
SP1,25/09/2013,Granada,Valencia,0,1,A,0,0,D,13,14,4,3,19,15,5,5,4,2,0,0,3.1,3.25,2.3,3.1,3.2,2.3,2.75,3.3,2.4,3,3.25,2.38,3.26,3.41,2.37,3.2,3.2,2.3,3.25,3.3,2.3,3.25,3.4,2.38,33,3.31,3.13,3.42,3.26,2.4,2.3,3.46,3.52,2.23
SP1,25/09/2013,Sevilla,Vallecano,4,1,H,1,0,H,16,10,7,4,14,18,4,2,3,4,0,2,1.44,4.2,7.5,1.48,4.25,6.25,1.6,3.9,5,1.53,4,6,1.48,4.92,7.08,1.5,4.4,6,1.44,4.5,7.5,1.45,4.8,7,34,1.6,1.47,4.95,4.32,7.6,6.65,1.41,5.59,7.63
SP1,26/09/2013,Ath Bilbao,Betis,2,1,H,0,0,D,20,10,8,5,8,13,8,4,1,5,0,0,1.95,3.5,3.75,1.9,3.5,3.9,1.8,3.5,4.2,2.05,3.4,3.5,1.97,3.69,4.14,2,3.3,3.8,2,3.5,3.8,1.95,3.6,4,31,2.05,1.96,3.69,3.46,4.4,3.79,1.93,3.62,4.44
SP1,26/09/2013,Getafe,Celta,2,0,H,1,0,H,14,9,3,2,14,8,11,5,2,1,0,0,2.1,3.3,3.5,2.1,3.2,3.6,2,3.3,3.6,2.2,3.25,3.4,2.17,3.47,3.71,2.25,3.2,3.3,2.2,3.4,3.4,2.2,3.4,3.6,30,2.25,2.14,3.47,3.3,3.7,3.41,2.21,3.39,3.67
SP1,26/09/2013,Villarreal,Espanol,2,1,H,1,0,H,8,12,5,3,15,22,3,5,1,3,0,0,1.73,3.5,5,1.72,3.5,5,1.8,3.5,4.2,1.75,3.5,4.8,1.72,3.83,5.64,1.75,3.4,5,1.73,3.6,5.25,1.7,3.8,5.5,30,1.8,1.72,3.83,3.61,5.64,4.94,1.57,4.1,7.15
SP1,27/09/2013,Valladolid,Malaga,2,2,D,0,1,A,13,11,3,4,6,7,11,4,3,0,0,0,2.9,3.2,2.45,2.75,3.4,2.45,2.6,3.2,2.6,2.8,3.25,2.5,3.05,3.36,2.54,2.8,3.2,2.5,3.2,3.2,2.38,3.1,3.3,2.55,34,3.2,2.87,3.36,3.25,2.65,2.49,2.9,3.08,2.62
SP1,28/09/2013,Almeria,Barcelona,0,2,A,0,1,A,5,15,1,4,20,15,2,3,1,2,0,0,13,7,1.18,13.5,7,1.18,13,7,1.17,13,7.5,1.16,18.09,8.3,1.18,15,7,1.17,17,8,1.15,15,8,1.18,35,19,14.69,9.4,7.31,1.19,1.17,13.86,8.2,1.21
SP1,28/09/2013,Real Madrid,Ath Madrid,0,1,A,0,1,A,20,13,5,4,21,18,2,7,4,4,0,0,1.62,3.75,5.5,1.62,4.2,4.75,1.6,3.8,5.2,1.61,4,5.2,1.68,4.2,5.35,1.75,3.4,5,1.67,3.75,5.5,1.73,4.1,4.8,34,1.75,1.65,4.22,3.84,5.5,5.03,1.83,3.71,4.86
SP1,28/09/2013,Sociedad,Sevilla,1,1,D,0,1,A,17,10,5,3,11,10,8,5,0,4,0,1,2.2,3.4,3.2,2.15,3.4,3.3,2,3.45,3.45,2.2,3.4,3.2,2.25,3.5,3.45,2.25,3.2,3.2,2.2,3.4,3.3,2.25,3.5,3.3,35,2.25,2.17,3.5,3.36,3.55,3.26,2.15,3.54,3.65
SP1,28/09/2013,Valencia,Vallecano,1,0,H,1,0,H,5,13,4,3,14,21,3,5,3,5,0,0,1.29,5.25,10,1.34,4.75,9.25,1.3,5,9,1.36,5,7.5,1.33,5.96,10.02,1.36,4.5,9,1.3,5.5,10,1.33,5.75,9.5,34,1.36,1.32,5.86,5.25,11,8.92,1.37,5.98,8.07
SP1,29/09/2013,Betis,Villarreal,1,0,H,1,0,H,11,7,5,2,15,13,5,6,6,3,0,0,2.5,3.3,2.75,2.35,3.3,2.95,2.4,3.3,2.75,2.45,3.4,2.75,2.63,3.43,2.87,2.5,3.2,2.8,2.5,3.3,2.88,2.6,3.4,2.88,34,2.63,2.47,3.43,3.29,3.1,2.8,2.62,3.56,2.79
SP1,29/09/2013,Celta,Elche,0,1,A,0,0,D,7,14,1,4,17,16,7,4,1,3,0,0,1.91,3.4,4,1.87,3.3,4.4,1.85,3.45,4,1.9,3.4,4,1.95,3.51,4.49,1.95,3.2,4.2,1.85,3.5,4.5,1.95,3.5,4.3,34,1.96,1.92,3.6,3.4,4.5,4,2.08,3.34,4.11
SP1,29/09/2013,Espanol,Getafe,0,2,A,0,0,D,14,7,3,3,8,14,14,4,1,3,0,0,1.7,3.6,5,1.75,3.4,5,1.75,3.5,4.5,1.8,3.4,4.8,1.78,3.72,5.29,1.75,3.4,5,1.75,3.6,5,1.75,3.7,5.25,34,1.85,1.75,3.72,3.53,5.29,4.7,1.64,3.63,6.03
SP1,29/09/2013,Osasuna,Levante,0,1,A,0,0,D,20,15,5,5,17,15,9,6,5,2,1,0,2.05,3.3,3.6,2.05,3.25,3.7,2,3.3,3.6,2.1,3.3,3.5,2.19,3.34,3.79,2.15,3.1,3.6,2.1,3.25,3.75,2.2,3.3,3.75,34,2.2,2.1,3.4,3.25,3.82,3.55,2.14,3.3,3.98
SP1,30/09/2013,Granada,Ath Bilbao,2,0,H,0,0,D,13,11,5,4,17,10,5,2,2,1,0,0,2.75,3.3,2.5,2.65,3.3,2.6,2.5,3.3,2.65,2.63,3.3,2.62,2.93,3.37,2.62,2.7,3.1,2.7,2.88,3.3,2.5,2.88,3.3,2.62,32,2.93,2.71,3.37,3.23,2.7,2.54,3.23,3.46,2.38
SP1,04/10/2013,Malaga,Osasuna,0,1,A,0,1,A,15,13,3,6,7,14,6,6,1,5,0,0,1.53,4,6,1.57,3.8,6,1.57,3.8,5.5,1.57,3.75,6,1.57,4.22,6.74,1.57,3.6,6.5,1.57,4,6,1.57,4.2,6.5,37,1.59,1.55,4.2,3.95,7,6.24,1.67,4.11,5.6
SP1,04/10/2013,Villarreal,Granada,3,0,H,1,0,H,16,8,4,1,9,13,6,4,0,1,0,0,1.44,4.33,7,1.48,4,7.25,1.45,4,7,1.5,4.2,6.5,1.5,4.53,7.66,1.44,4.33,7,1.44,4.33,7.5,1.5,4.5,7.5,37,1.52,1.48,4.5,4.17,7.82,7.04,1.49,4.44,8.18
SP1,05/10/2013,Barcelona,Valladolid,4,1,H,1,1,D,21,7,8,1,7,15,7,4,0,3,0,0,1.09,10,21,1.1,9,21,1.11,8,19,1.12,8.5,19,1.12,10.8,27,1.12,9,26,1.1,10,26,1.11,10.5,31,37,1.13,1.11,12,9.09,34,23.19,1.15,9.46,24.32
SP1,05/10/2013,Elche,Espanol,2,1,H,1,0,H,12,13,6,3,13,19,4,5,1,1,0,1,2.5,3.3,2.75,2.5,3.2,2.85,2.4,3.3,2.75,2.5,3.3,2.75,2.63,3.24,3.02,2.5,3.2,2.9,2.63,3.25,2.75,2.62,3.25,3,36,2.63,2.52,3.4,3.23,3.02,2.84,2.43,3.37,3.21
SP1,05/10/2013,Levante,Real Madrid,2,3,A,0,0,D,13,27,5,10,18,13,3,8,1,3,0,0,9,5,1.33,8.25,5,1.34,7.6,4.8,1.35,7.5,5,1.36,10.03,5.67,1.34,10,5,1.36,10,5.5,1.3,10,5.5,1.33,37,11,8.94,5.67,5.1,1.36,1.33,9.51,5.8,1.35
SP1,05/10/2013,Vallecano,Sociedad,1,0,H,0,0,D,11,18,1,6,9,8,7,6,2,2,0,0,2.9,3.4,2.38,2.75,3.4,2.45,3.3,3.3,2.1,3,3.4,2.3,2.92,3.65,2.47,3,3,2.5,3.2,3.5,2.2,3,3.6,2.4,37,3.3,2.89,3.61,3.37,2.55,2.39,2.8,3.71,2.54
SP1,06/10/2013,Ath Bilbao,Valencia,1,1,D,0,1,A,17,12,8,5,8,6,9,2,2,2,0,0,2.1,3.5,3.3,2.05,3.3,3.7,2.2,3.3,3.1,2.15,3.5,3.2,2.14,3.69,3.55,2.2,3.3,3.3,2.15,3.5,3.3,2.1,3.6,3.6,32,2.2,2.11,3.75,3.43,3.7,3.36,2,3.52,4.24
SP1,06/10/2013,Ath Madrid,Celta,2,1,H,1,0,H,23,3,12,2,12,16,13,0,1,3,0,0,1.22,6,13,1.22,6,13.5,1.22,5.5,12,1.25,5.5,12,1.22,7,16.9,1.25,5,15,1.22,6,15,1.2,7,18,37,1.25,1.22,7,6,18,13.7,1.2,7.63,17
SP1,06/10/2013,Getafe,Betis,3,1,H,3,0,H,11,15,5,4,19,14,5,10,3,3,0,0,2.4,3.3,2.88,2.4,3.3,2.9,2.25,3.3,3,2.3,3.3,3,2.54,3.29,3.11,2.5,3.2,2.8,2.4,3.3,3,2.55,3.3,3,37,2.55,2.43,3.4,3.23,3.11,2.88,2.71,3.32,2.85
SP1,06/10/2013,Sevilla,Almeria,2,1,H,1,1,D,22,11,6,4,14,9,12,3,4,5,0,0,1.44,4.33,7,1.48,4.33,6.5,1.45,4,7,1.5,4.33,6,1.53,4.59,6.69,1.53,3.8,6.5,1.5,4.33,6.5,1.53,4.5,6.25,36,1.55,1.5,4.59,4.25,7,6.25,1.51,4.79,6.82
SP1,19/10/2013,Espanol,Ath Madrid,1,0,H,0,0,D,9,6,3,0,16,22,3,3,5,4,0,0,5.25,3.6,1.67,5.25,3.6,1.67,4.7,3.6,1.7,5,3.75,1.66,5.15,3.79,1.78,4.5,3.5,1.8,5.25,3.6,1.73,5,3.75,1.8,38,5.3,4.89,3.8,3.57,1.8,1.74,5.2,3.99,1.74
SP1,19/10/2013,Osasuna,Barcelona,0,0,D,0,0,D,4,12,1,3,13,8,2,5,3,2,0,0,12,6,1.22,12.5,6,1.22,11,6,1.22,10,6,1.25,14.3,6.65,1.25,10,6,1.25,14,6.5,1.22,13,6.5,1.25,38,16,12.17,6.9,6.02,1.27,1.23,10.31,6.38,1.3
SP1,19/10/2013,Real Madrid,Malaga,2,0,H,0,0,D,22,3,15,1,5,12,10,1,1,5,0,0,1.2,7,11,1.17,7,14.5,1.2,6,12.5,1.2,7,11,1.2,8.23,15.85,1.2,6.5,13,1.2,7.5,13,1.2,7.5,13,39,1.24,1.2,8.23,6.78,16,12.73,1.18,8.77,16.2
SP1,19/10/2013,Valencia,Sociedad,1,2,A,0,1,A,16,8,4,3,13,10,8,2,3,1,0,0,1.73,3.5,5,1.75,3.75,4.5,1.7,3.6,4.7,1.8,3.6,4.33,1.78,3.88,4.98,1.8,3.5,4.5,1.73,3.75,5,1.8,3.8,4.6,38,1.8,1.76,3.88,3.61,5.2,4.62,1.93,3.88,4.08
SP1,20/10/2013,Almeria,Vallecano,0,1,A,0,0,D,6,16,2,10,21,13,7,6,2,3,0,1,1.91,3.6,3.75,1.83,3.6,4.1,1.85,3.45,4,2,3.5,3.6,2.02,3.6,4.04,2,3.4,3.75,1.91,3.6,4,2,3.75,3.8,39,2.02,1.95,3.65,3.48,4.33,3.83,2.07,3.79,3.66
SP1,20/10/2013,Betis,Elche,1,2,A,1,2,A,15,7,7,4,22,8,6,7,4,2,0,1,1.73,3.5,5,1.72,3.5,5,1.7,3.6,4.7,1.8,3.6,4.33,1.78,3.73,5.25,1.8,3.5,4.5,1.7,3.75,5,1.8,3.7,5,39,1.8,1.75,3.75,3.54,5.5,4.81,1.91,3.55,4.65
SP1,20/10/2013,Granada,Getafe,0,2,A,0,0,D,12,15,5,7,21,12,9,3,3,2,1,0,2.1,3.4,3.4,2.05,3.3,3.7,2.2,3.3,3.1,2.1,3.3,3.5,2.15,3.37,3.86,2.2,3.4,3.2,2.2,3.25,3.5,2.2,3.3,3.8,39,2.25,2.14,3.4,3.28,3.86,3.47,2.22,3.41,3.62
SP1,20/10/2013,Valladolid,Sevilla,2,2,D,0,2,A,11,16,5,6,14,17,6,5,2,3,0,0,2.8,3.4,2.4,2.9,3.4,2.35,2.9,3.3,2.3,2.9,3.3,2.4,2.97,3.51,2.51,2.8,3.3,2.5,3,3.4,2.38,3,3.4,2.5,39,3.05,2.9,3.51,3.33,2.54,2.41,2.84,3.48,2.62
SP1,21/10/2013,Ath Bilbao,Villarreal,2,0,H,2,0,H,19,6,3,2,14,13,8,4,5,2,0,1,2.2,3.4,3.2,2.2,3.4,3.2,2.3,3.3,2.9,2.25,3.4,3.1,2.23,3.6,3.4,2.3,3.2,3.1,2.3,3.5,3,2.2,3.6,3.4,37,2.3,2.2,3.57,3.34,3.52,3.23,2.64,3.39,2.88
SP1,21/10/2013,Celta,Levante,0,1,A,0,0,D,15,6,4,3,11,14,2,0,2,1,0,0,2.05,3.4,3.5,2.05,3.25,3.7,2.15,3.3,3.2,2.1,3.3,3.5,2.04,3.52,4.06,2.15,3.3,3.4,2.05,3.4,3.75,2.05,3.5,4,37,2.15,2.04,3.52,3.31,4.06,3.65,2.04,3.4,4.13
SP1,25/10/2013,Vallecano,Valladolid,0,3,A,0,2,A,17,9,4,6,7,27,8,1,2,2,0,0,1.91,3.6,3.8,2,3.3,3.8,2.1,3.3,3.3,2.05,3.4,3.5,2.05,3.56,3.98,2.1,3.2,3.7,2.05,3.5,3.7,2.05,3.6,3.9,38,2.1,2.03,3.6,3.38,3.98,3.66,2.01,3.67,4
SP1,26/10/2013,Barcelona,Real Madrid,2,1,H,1,0,H,12,10,5,6,19,16,4,3,2,5,0,0,1.75,4,4.33,1.78,4.1,3.8,1.8,3.5,4.2,1.83,3.75,4,1.8,4.12,4.5,1.83,3.4,4.5,1.85,3.8,4.2,1.833,4,4.333,38,1.85,1.78,4.12,3.78,4.53,4.28,1.7,4.42,4.9
SP1,26/10/2013,Elche,Granada,0,1,A,0,1,A,8,14,1,3,12,8,5,4,2,3,0,0,1.91,3.4,4,1.9,3.25,4.25,1.9,3.45,3.8,1.9,3.4,3.75,1.94,3.54,4.48,2,3.2,4,2,3.4,4,1.952,3.4,4.6,38,2,1.93,3.54,3.38,4.5,4.01,2.09,3.29,4.22
SP1,26/10/2013,Levante,Espanol,3,0,H,2,0,H,6,20,3,6,14,23,3,11,2,5,0,0,2.4,3.3,2.9,2.5,3.1,2.95,2.2,3.3,3.1,2.3,3.25,3.1,2.55,3.25,3.11,2.5,3,3,2.5,3.3,2.9,2.55,3.25,3.1,37,2.57,2.44,3.3,3.17,3.2,2.96,2.65,3.34,2.91
SP1,26/10/2013,Malaga,Celta,0,5,A,0,2,A,7,16,1,9,14,11,5,6,2,0,0,0,1.7,3.6,5,1.65,3.7,5.25,1.6,3.8,5.2,1.75,3.5,4.8,1.74,3.87,5.39,1.75,3.4,5,1.73,3.75,5,1.75,3.8,5.2,38,1.76,1.71,3.87,3.65,5.5,4.9,1.95,3.7,4.22
SP1,27/10/2013,Ath Madrid,Betis,5,0,H,1,0,H,16,9,12,1,14,7,6,5,0,2,0,0,1.25,5.5,12,1.25,5.5,11.5,1.27,5.2,10,1.3,5.5,9,1.29,6,13,1.3,5,11,1.29,5.5,12,1.286,6,13,36,1.3,1.27,6,5.37,13,11.2,1.27,6.3,12.88
SP1,27/10/2013,Sevilla,Osasuna,2,1,H,0,0,D,23,7,4,3,11,11,9,3,1,4,0,1,1.5,4.2,6.5,1.48,4.1,6.75,1.45,4,7,1.53,4,6,1.55,4.38,6.79,1.57,3.8,6,1.5,4.2,7,1.5,4.333,6.5,36,1.57,1.51,4.38,4,7,6.5,1.46,4.88,7.78
SP1,27/10/2013,Sociedad,Almeria,3,0,H,1,0,H,10,15,3,4,10,14,3,7,1,3,0,0,1.57,4,5.5,1.57,4,5.5,1.55,3.9,5.6,1.61,4,5,1.58,4.35,6.32,1.57,3.8,6,1.53,4.33,6.25,1.571,4.4,6,38,1.62,1.56,4.35,3.99,6.32,5.8,1.58,4.16,6.85
SP1,27/10/2013,Villarreal,Valencia,4,1,H,2,0,H,15,16,8,8,14,13,6,9,3,2,0,0,1.95,3.5,3.8,1.95,3.4,3.9,2.1,3.3,3.3,2.05,3.4,3.5,2.01,3.74,3.91,2.05,3.4,3.5,2.05,3.5,3.7,2.05,3.6,3.9,35,2.1,1.99,3.74,3.45,3.91,3.62,2.05,3.67,3.85
SP1,28/10/2013,Getafe,Ath Bilbao,0,1,A,0,1,A,14,6,3,5,13,22,9,4,0,3,0,0,2.63,3.2,2.7,2.65,3.2,2.7,2.5,3.3,2.65,2.62,3.3,2.62,2.7,3.4,2.81,2.7,3.1,2.7,2.8,3.3,2.6,2.7,3.4,2.75,36,2.8,2.63,3.4,3.23,2.81,2.64,2.73,3.43,2.76
SP1,29/10/2013,Celta,Barcelona,0,3,A,0,1,A,12,20,4,8,17,12,5,7,3,1,0,0,10,5.5,1.29,11,5.5,1.25,12,5.5,1.22,11,6,1.25,11.39,6.04,1.3,10,6,1.25,11,6,1.27,12,6,1.29,39,13,11.15,6.27,5.69,1.31,1.26,7.65,5.49,1.41
SP1,29/10/2013,Espanol,Malaga,0,0,D,0,0,D,12,14,3,5,20,11,8,6,1,3,0,0,1.91,3.3,4.2,1.9,3.4,4,2,3.3,3.6,2,3.4,3.75,1.98,3.5,4.35,1.95,3.25,4.2,2,3.5,3.8,1.95,3.5,4.4,39,2,1.94,3.53,3.4,4.49,4,1.83,3.7,4.96
SP1,30/10/2013,Osasuna,Vallecano,3,1,H,2,0,H,10,21,6,5,10,9,5,10,0,2,1,0,2.1,3.3,3.5,2.05,3.2,3.75,2,3.3,3.6,2.1,3.4,3.4,2.16,3.5,3.66,2.15,3.2,3.5,2.1,3.4,3.5,2.15,3.5,3.7,39,2.17,2.08,3.5,3.33,3.75,3.48,2.42,3.32,3.27
SP1,30/10/2013,Real Madrid,Sevilla,7,3,H,3,2,H,18,16,10,6,17,15,2,1,3,2,0,1,1.18,7,13,1.19,6.5,13.5,1.2,6,12.5,1.2,6.5,13,1.22,7.55,15.45,1.22,6,13,1.2,7,13,1.22,7.5,13,39,1.22,1.2,7.55,6.5,16.26,13.1,1.23,7.6,13.5
SP1,30/10/2013,Valencia,Almeria,1,2,A,1,0,H,19,8,7,4,14,17,5,2,0,5,0,0,1.4,4.5,8,1.4,4.6,7.5,1.37,4.6,7.5,1.44,4.5,6.5,1.44,4.95,8.13,1.44,4.33,7,1.4,4.8,8.25,1.45,4.8,7.5,38,1.46,1.41,4.93,4.51,8.25,7.1,1.44,4.77,8.63
SP1,30/10/2013,Valladolid,Sociedad,2,2,D,0,1,A,18,16,7,6,15,7,11,4,4,1,0,0,2.8,3.3,2.5,2.7,3.3,2.5,2.65,3.3,2.5,2.75,3.3,2.5,2.86,3.4,2.67,2.9,3.1,2.5,2.8,3.4,2.5,2.88,3.4,2.63,39,2.9,2.77,3.4,3.23,2.67,2.52,2.71,3.38,2.8
SP1,31/10/2013,Ath Bilbao,Elche,2,2,D,0,1,A,17,11,5,6,11,10,8,3,3,2,0,0,1.62,3.75,5.5,1.65,3.7,5.25,1.6,3.7,5.4,1.65,3.75,5.2,1.66,4.1,5.78,1.62,3.75,5.5,1.57,4,5.8,1.7,4,5.4,37,1.7,1.64,4.1,3.74,6,5.34,1.66,3.7,5.58
SP1,31/10/2013,Betis,Levante,0,0,D,0,0,D,16,17,5,4,12,14,4,3,1,6,1,0,1.8,3.5,4.5,1.78,3.5,4.4,1.8,3.5,4.2,1.9,3.4,4,1.85,3.63,4.9,1.91,3.4,4,1.83,3.5,4.5,1.85,3.6,4.8,37,1.91,1.82,3.64,3.49,5,4.36,1.84,3.46,4.56
SP1,31/10/2013,Granada,Ath Madrid,1,2,A,0,1,A,10,7,1,6,15,16,5,5,2,2,0,1,6,4,1.53,6.5,3.75,1.55,5.4,3.7,1.6,6,3.8,1.57,7.33,4.13,1.56,6,3.75,1.57,6.5,4,1.53,7.5,4.1,1.55,37,7.5,6.34,4.13,3.89,1.6,1.54,7.98,4.4,1.5
SP1,31/10/2013,Villarreal,Getafe,0,2,A,0,1,A,12,9,3,4,12,14,9,8,1,4,1,0,1.44,4.2,7.5,1.5,4,6.5,1.55,3.9,5.6,1.53,3.8,6.5,1.5,4.52,7.49,1.53,3.9,6.5,1.53,4,6.5,1.5,4.5,7,37,1.55,1.49,4.52,4.08,7.5,6.7,1.51,4.51,7.5
SP1,01/11/2013,Barcelona,Espanol,1,0,H,0,0,D,19,8,5,2,7,19,9,2,1,3,0,0,1.09,10,26,1.09,10.5,18,1.12,8,16,1.1,9,21,1.11,11.7,28.6,1.11,9,21,1.12,9,23,1.1,11.5,31,35,1.12,1.1,11.73,10.06,31.52,22.55,1.1,12.8,34.5
SP1,02/11/2013,Almeria,Valladolid,1,0,H,1,0,H,14,8,7,2,15,13,3,5,4,2,0,1,2.15,3.3,3.4,2.15,3.25,3.4,2.2,3.3,3.1,2.25,3.4,3.1,2.27,3.5,3.41,2.25,3.2,3.3,2.2,3.25,3.5,2.2,3.5,3.5,36,2.26,2.19,3.5,3.3,3.5,3.32,2.22,3.48,3.53
SP1,02/11/2013,Sevilla,Celta,0,1,A,0,0,D,14,17,4,4,12,15,10,5,2,1,0,0,1.5,4.33,6,1.5,4.2,6.25,1.45,4,7,1.57,4,5.5,1.57,4.4,6.37,1.6,3.6,6,1.53,4.33,6,1.55,4.4,6.5,36,1.6,1.54,4.41,4.11,7,5.99,1.56,4.57,6.22
SP1,02/11/2013,Sociedad,Osasuna,5,0,H,1,0,H,17,5,8,1,8,6,9,2,2,0,0,1,1.57,4,5.75,1.62,3.6,6,1.65,3.6,5.1,1.61,3.75,5.5,1.62,4.11,6.3,1.67,3.5,5.5,1.57,3.9,6.5,1.6,4.1,6.5,36,1.67,1.59,4.11,3.81,6.5,5.82,1.74,3.92,5.3
SP1,02/11/2013,Vallecano,Real Madrid,2,3,A,0,2,A,23,11,6,5,13,12,6,1,3,5,0,0,11,6,1.25,10,6,1.25,12,5.5,1.22,9,5.5,1.3,11.22,6.34,1.29,11,5,1.3,13,6,1.25,10.5,6.25,1.3,36,13,10.8,6.39,5.64,1.3,1.27,13.16,6.78,1.26
SP1,03/11/2013,Ath Madrid,Ath Bilbao,2,0,H,2,0,H,15,2,8,0,15,21,3,0,5,2,0,1,1.3,5,11,1.34,4.75,9.25,1.3,5,9,1.33,4.8,9,1.33,5.53,11.45,1.33,4.5,11,1.33,5,10,1.36,5.5,10,34,1.36,1.32,5.53,4.92,11.45,9.67,1.38,5.11,10.1
SP1,03/11/2013,Getafe,Valencia,0,1,A,0,1,A,14,16,5,5,17,7,6,6,6,2,0,0,2.6,3.2,2.75,2.55,3.25,2.75,2.6,3.2,2.6,2.45,3.4,2.75,2.67,3.39,2.86,2.62,3.1,2.8,2.63,3.4,2.63,2.7,3.4,2.75,35,2.7,2.58,3.41,3.26,2.87,2.72,2.71,3.62,2.66
SP1,03/11/2013,Levante,Granada,0,1,A,0,0,D,13,15,7,5,15,15,5,7,2,3,0,0,2.05,3.3,3.6,2.05,3.2,3.8,1.9,3.45,3.8,2,3.3,3.8,2.13,3.29,4.05,2.05,3.2,3.8,2,3.3,4,2.1,3.3,4.1,34,2.13,2.03,3.46,3.3,4.1,3.7,2.24,3.38,3.62
SP1,03/11/2013,Malaga,Betis,3,2,H,1,1,D,10,8,4,3,20,12,2,3,2,2,0,0,2.05,3.4,3.6,2,3.4,3.75,2,3.3,3.6,2,3.4,3.75,2.14,3.58,3.67,2.05,3.2,3.8,1.95,3.4,4,2.1,3.5,3.8,34,2.14,2.04,3.58,3.36,4,3.65,2.16,3.51,3.69
SP1,04/11/2013,Elche,Villarreal,0,1,A,0,0,D,5,16,0,6,19,11,9,9,3,3,0,0,3.3,3.3,2.2,3.3,3.25,2.2,3.3,3.3,2.1,3.4,3.25,2.15,3.54,3.34,2.28,3.3,3.2,2.25,3.3,3.4,2.2,3.5,3.4,2.25,35,3.54,3.32,3.41,3.28,2.3,2.2,3.02,3.35,2.55
SP1,08/11/2013,Granada,Malaga,3,1,H,0,0,D,16,17,10,6,17,17,7,5,3,3,0,0,2.3,3.2,3.2,2.25,3.25,3.2,2.2,3.3,3.1,2.25,3.2,3.25,2.31,3.25,3.58,2.3,3.2,3.2,2.3,3.3,3.25,2.3,3.3,3.5,37,2.31,2.26,3.4,3.26,3.55,3.27,2.35,3.21,3.18
SP1,08/11/2013,Osasuna,Almeria,0,1,A,0,1,A,20,4,5,2,9,16,12,5,2,3,0,0,2.05,3.4,3.5,2.1,3.3,3.5,2.1,3.3,3.3,2.2,3.3,3.3,2.14,3.44,3.83,2.15,3.25,3.5,2.05,3.4,3.75,2.15,3.4,3.75,37,2.2,2.12,3.44,3.31,3.82,3.51,2.11,3.3,4.11
SP1,09/11/2013,Ath Bilbao,Levante,2,1,H,0,1,A,21,7,9,3,19,24,11,2,3,5,1,0,1.5,4.1,6.5,1.55,3.8,6.25,1.6,3.7,5.4,1.57,3.75,6,1.56,4.18,7.23,1.57,4,5.5,1.53,4,7,1.57,4.1,7,37,1.6,1.53,4.31,3.95,7.37,6.36,1.62,3.91,6.8
SP1,09/11/2013,Celta,Vallecano,0,2,A,0,1,A,16,16,4,4,16,19,8,4,3,2,0,0,1.91,3.5,4,1.91,3.4,4.1,1.9,3.45,3.8,2,3.5,3.6,1.95,3.61,4.34,1.85,3.75,4,2.05,3.5,3.6,1.92,3.75,4.2,37,2,1.92,3.68,3.46,4.22,3.96,2.01,3.7,3.96
SP1,09/11/2013,Getafe,Elche,1,1,D,1,0,H,10,10,2,5,17,16,4,7,3,6,0,0,2.05,3.25,3.75,2.05,3.2,3.8,2,3.3,3.6,2,3.3,3.75,2.08,3.37,4.13,2.1,3.25,3.6,2.05,3.3,3.75,2.05,3.4,4.1,37,2.1,2.03,3.41,3.28,4.19,3.77,2.09,3.38,4.11
SP1,09/11/2013,Real Madrid,Sociedad,5,1,H,4,0,H,17,8,8,3,16,9,2,7,2,1,0,0,1.14,8,17,1.16,7.75,13.5,1.17,6.5,14,1.16,8,13,1.19,8.45,16.49,1.17,8,13,1.17,8,15,1.17,8.5,15,37,1.2,1.16,8.51,7.57,17.5,14.83,1.21,8.22,14.32
SP1,10/11/2013,Betis,Barcelona,1,4,A,0,2,A,16,11,5,8,18,12,9,0,3,2,0,0,11,6,1.25,11.5,6,1.23,9,6,1.25,10,6,1.25,12.65,6.51,1.27,10,5.5,1.29,10,6,1.29,12,6.5,1.29,35,12.75,10.87,6.51,5.85,1.29,1.26,12.18,7.05,1.26
