	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	YellowContra	YellowContra	YellowContra	YellowFavor	YellowFavor	YellowFavor	RedContra	RedContra	RedContra	RedFavor	RedFavor	RedFavor	Fouls	Fouls	Fouls	Fld	Fld	Fld	PenConc	PenConc	PenConc	PenAtt	PenAtt	PenAtt
																								
1.Bribe	-0.267*	-0.488*	-0.508*	0.563***	0.119	0.195	-0.00580	-0.0352	-0.0505	0.0372	-0.0421	-0.0240	0.978**	-0.910	-1.151	1.718***	-0.0598	0.303	-0.0838**	-0.130*	-0.127*	0.0901**	-0.0485	-0.0511
	(0.146)	(0.273)	(0.273)	(0.146)	(0.272)	(0.271)	(0.0365)	(0.0586)	(0.0584)	(0.0365)	(0.0582)	(0.0578)	(0.428)	(0.715)	(0.710)	(0.431)	(0.713)	(0.701)	(0.0362)	(0.0744)	(0.0745)	(0.0362)	(0.0744)	(0.0745)
Local	-0.180***	-0.124**	-0.138**	0.0964***	-0.0549	9.84e-05	-0.0326***	0.00396	-0.00716	0.0173**	-0.0194	-0.00625	0.456***	0.363**	0.187	-0.990***	-0.972***	-0.708***	-0.0173**	-0.0222	-0.0199	0.0237***	-0.0236	-0.0255
	(0.0344)	(0.0581)	(0.0587)	(0.0345)	(0.0579)	(0.0583)	(0.00863)	(0.0125)	(0.0126)	(0.00863)	(0.0124)	(0.0124)	(0.101)	(0.152)	(0.153)	(0.102)	(0.152)	(0.151)	(0.00856)	(0.0159)	(0.0160)	(0.00855)	(0.0159)	(0.0160)
AttendanceTransfMkt	1.64e-06*	3.77e-06***	3.66e-06***	2.04e-06**	3.18e-06**	3.59e-06***	2.31e-09	-3.06e-07	-3.90e-07	6.55e-07***	-3.22e-07	-2.23e-07	6.89e-06***	3.62e-06	2.30e-06	7.51e-06***	-3.87e-06	-1.88e-06	1.15e-07	-1.12e-06***	-1.10e-06***	3.01e-07	-5.82e-07	-5.96e-07
	(8.75e-07)	(1.39e-06)	(1.39e-06)	(8.76e-07)	(1.39e-06)	(1.38e-06)	(2.19e-07)	(2.99e-07)	(2.98e-07)	(2.19e-07)	(2.97e-07)	(2.95e-07)	(2.57e-06)	(3.65e-06)	(3.63e-06)	(2.59e-06)	(3.64e-06)	(3.58e-06)	(2.17e-07)	(3.80e-07)	(3.81e-07)	(2.17e-07)	(3.80e-07)	(3.80e-07)
DifBookAdjust	0.372***	0.00706	-0.0899	-0.613***	-0.745***	-0.371***	-0.0612***	-0.0141	-0.0896***	0.0116	0.00480	0.0940***	0.335	0.651**	-0.542	-1.892***	-3.916***	-2.124***	0.113***	0.125***	0.141***	-0.0922***	0.0582*	0.0453
	(0.0763)	(0.123)	(0.136)	(0.0764)	(0.123)	(0.135)	(0.0191)	(0.0265)	(0.0292)	(0.0191)	(0.0263)	(0.0289)	(0.224)	(0.323)	(0.355)	(0.225)	(0.322)	(0.351)	(0.0190)	(0.0336)	(0.0373)	(0.0190)	(0.0336)	(0.0372)
Poss	-0.0104***		-0.00472*	0.0141***		0.0182***	-0.00547***		-0.00367***	0.00569***		0.00434***	-0.0640***		-0.0580***	0.0875***		0.0872***	0.000336		0.000775	-0.000454		-0.000625
	(0.00170)		(0.00286)	(0.00171)		(0.00284)	(0.000428)		(0.000612)	(0.000428)		(0.000606)	(0.00501)		(0.00744)	(0.00504)		(0.00734)	(0.000424)		(0.000780)	(0.000424)		(0.000780)
xG		-0.0856**	-0.0858**		0.0411	0.0417		-0.0211***	-0.0213***		0.0595***	0.0597***		-0.142	-0.144		-0.595***	-0.592***		0.136***	0.136***		0.142***	0.142***
		(0.0351)	(0.0350)		(0.0350)	(0.0348)		(0.00754)	(0.00750)		(0.00748)	(0.00743)		(0.0920)	(0.0912)		(0.0917)	(0.0901)		(0.00957)	(0.00957)		(0.00957)	(0.00957)
Constant	3.287***	2.601***	2.847***	1.883***	2.411***	1.465***	0.441***	0.137***	0.329***	-0.161***	0.0465***	-0.179***	17.73***	13.45***	16.47***	10.83***	14.84***	10.30***	0.143***	0.0354**	-0.00496	0.151***	0.0180	0.0506
	(0.0929)	(0.0596)	(0.160)	(0.0930)	(0.0594)	(0.159)	(0.0233)	(0.0128)	(0.0343)	(0.0233)	(0.0127)	(0.0340)	(0.273)	(0.156)	(0.417)	(0.274)	(0.156)	(0.412)	(0.0231)	(0.0163)	(0.0438)	(0.0231)	(0.0163)	(0.0437)
																								
Observations	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800
R-squared	0.022	0.007	0.008	0.030	0.014	0.025	0.015	0.003	0.012	0.018	0.018	0.031	0.021	0.004	0.020	0.049	0.048	0.083	0.008	0.053	0.053	0.007	0.056	0.056
Number of Equipo	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28
Standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
